name	TF_name	count
cardiac_neuro_cava_random:AARS1|ENSG00000090861.17|EH38E1825144_rev_tile1-1	ATRX	1
cardiac_neuro_cava_random:AARS1|ENSG00000090861.17|EH38E1825144_rev_tile1-1	ELL2	1
cardiac_neuro_cava_random:AARS1|ENSG00000090861.17|EH38E1825144_rev_tile1-1	ETS1	1
cardiac_neuro_cava_random:AARS1|ENSG00000090861.17|EH38E1825144_rev_tile1-1	FOXP1	1
cardiac_neuro_cava_random:AARS1|ENSG00000090861.17|EH38E1825144_rev_tile1-1	HAND2	1
cardiac_neuro_cava_random:AARS1|ENSG00000090861.17|EH38E1825144_rev_tile1-1	KDM1A	1
cardiac_neuro_cava_random:AARS1|ENSG00000090861.17|EH38E1825144_rev_tile1-1	MEN1	1
cardiac_neuro_cava_random:AARS1|ENSG00000090861.17|EH38E1825144_rev_tile1-1	MYCN	1
cardiac_neuro_cava_random:AARS1|ENSG00000090861.17|EH38E1825144_rev_tile1-1	NCOA3	1
cardiac_neuro_cava_random:AARS1|ENSG00000090861.17|EH38E1825144_rev_tile1-1	NFIA	1
cardiac_neuro_cava_random:AARS1|ENSG00000090861.17|EH38E1825144_rev_tile1-1	NFIC	1
cardiac_neuro_cava_random:AARS1|ENSG00000090861.17|EH38E1825144_rev_tile1-1	PAF1	1
cardiac_neuro_cava_random:AARS1|ENSG00000090861.17|EH38E1825144_rev_tile1-1	PITX3	1
cardiac_neuro_cava_random:AARS1|ENSG00000090861.17|EH38E1825144_rev_tile1-1	RCOR1	1
cardiac_neuro_cava_random:AARS1|ENSG00000090861.17|EH38E1825144_rev_tile1-1	SMAD3	1
cardiac_neuro_cava_random:AARS1|ENSG00000090861.17|EH38E1825144_rev_tile1-1	SMARCA4	1
cardiac_neuro_cava_random:AARS1|ENSG00000090861.17|EH38E1825144_rev_tile1-1	SOX11	1
cardiac_neuro_cava_random:AARS1|ENSG00000090861.17|EH38E1825144_rev_tile1-1	TEAD4	1
cardiac_neuro_cava_random:AARS1|ENSG00000090861.17|EH38E1825144_rev_tile1-1	TWIST1	1
cardiac_neuro_cava_random:AARS1|ENSG00000090861.17|EH38E1825144_rev_tile1-1	ZNF512	1
cardiac_neuro_cava_random:ADNP|ENSG00000101126.18|EH38E3439843_rev_tile1-1	ARID1A	1
cardiac_neuro_cava_random:ADNP|ENSG00000101126.18|EH38E3439843_rev_tile1-1	ARNTL	1
cardiac_neuro_cava_random:ADNP|ENSG00000101126.18|EH38E3439843_rev_tile1-1	ASCL1	1
cardiac_neuro_cava_random:ADNP|ENSG00000101126.18|EH38E3439843_rev_tile1-1	BRD4	1
cardiac_neuro_cava_random:ADNP|ENSG00000101126.18|EH38E3439843_rev_tile1-1	CASZ1	1
cardiac_neuro_cava_random:ADNP|ENSG00000101126.18|EH38E3439843_rev_tile1-1	CHD4	1
cardiac_neuro_cava_random:ADNP|ENSG00000101126.18|EH38E3439843_rev_tile1-1	CHD7	1
cardiac_neuro_cava_random:ADNP|ENSG00000101126.18|EH38E3439843_rev_tile1-1	CTCFL	1
cardiac_neuro_cava_random:ADNP|ENSG00000101126.18|EH38E3439843_rev_tile1-1	ESR1	1
cardiac_neuro_cava_random:ADNP|ENSG00000101126.18|EH38E3439843_rev_tile1-1	EZH2	1
cardiac_neuro_cava_random:ADNP|ENSG00000101126.18|EH38E3439843_rev_tile1-1	FOXO1-PAX3	1
cardiac_neuro_cava_random:ADNP|ENSG00000101126.18|EH38E3439843_rev_tile1-1	GATA2	1
cardiac_neuro_cava_random:ADNP|ENSG00000101126.18|EH38E3439843_rev_tile1-1	HDAC2	1
cardiac_neuro_cava_random:ADNP|ENSG00000101126.18|EH38E3439843_rev_tile1-1	HDAC3	1
cardiac_neuro_cava_random:ADNP|ENSG00000101126.18|EH38E3439843_rev_tile1-1	MAX	1
cardiac_neuro_cava_random:ADNP|ENSG00000101126.18|EH38E3439843_rev_tile1-1	MTA2	1
cardiac_neuro_cava_random:ADNP|ENSG00000101126.18|EH38E3439843_rev_tile1-1	MYCN	1
cardiac_neuro_cava_random:ADNP|ENSG00000101126.18|EH38E3439843_rev_tile1-1	MYOD1	1
cardiac_neuro_cava_random:ADNP|ENSG00000101126.18|EH38E3439843_rev_tile1-1	MYOG	1
cardiac_neuro_cava_random:ADNP|ENSG00000101126.18|EH38E3439843_rev_tile1-1	NEUROG2	1
cardiac_neuro_cava_random:ADNP|ENSG00000101126.18|EH38E3439843_rev_tile1-1	NR3C1	1
cardiac_neuro_cava_random:ADNP|ENSG00000101126.18|EH38E3439843_rev_tile1-1	PAX3-FOXO1	1
cardiac_neuro_cava_random:ADNP|ENSG00000101126.18|EH38E3439843_rev_tile1-1	POU2F2	1
cardiac_neuro_cava_random:ADNP|ENSG00000101126.18|EH38E3439843_rev_tile1-1	RAD21	1
cardiac_neuro_cava_random:ADNP|ENSG00000101126.18|EH38E3439843_rev_tile1-1	RBBP4	1
cardiac_neuro_cava_random:ADNP|ENSG00000101126.18|EH38E3439843_rev_tile1-1	RBPJ	1
cardiac_neuro_cava_random:ADNP|ENSG00000101126.18|EH38E3439843_rev_tile1-1	RELA	1
cardiac_neuro_cava_random:ADNP|ENSG00000101126.18|EH38E3439843_rev_tile1-1	SIX2	1
cardiac_neuro_cava_random:ADNP|ENSG00000101126.18|EH38E3439843_rev_tile1-1	SMARCA4	1
cardiac_neuro_cava_random:ADNP|ENSG00000101126.18|EH38E3439843_rev_tile1-1	SOX2	1
cardiac_neuro_cava_random:ADNP|ENSG00000101126.18|EH38E3439843_rev_tile1-1	STAT3	1
cardiac_neuro_cava_random:ADNP|ENSG00000101126.18|EH38E3439843_rev_tile1-1	TEAD4	1
cardiac_neuro_cava_random:ADNP|ENSG00000101126.18|EH38E3439843_rev_tile1-1	YY1	1
cardiac_neuro_cava_random:ADSL|ENSG00000239900.14|EH38E3482797_fwd_tile1-1	HOXB13	1
cardiac_neuro_cava_random:ADSL|ENSG00000239900.14|EH38E3482797_fwd_tile1-1	RBFOX2	1
cardiac_neuro_cava_random:ADSL|ENSG00000239900.14|EH38E3482797_fwd_tile1-1	RFX5	1
cardiac_neuro_cava_random:ADSL|ENSG00000239900.14|EH38E3482797_fwd_tile1-1	SUPT5H	1
cardiac_neuro_cava_random:ANK2|ENSG00000145362.21|EH38E2320863_fwd_tile1-1	AR	1
cardiac_neuro_cava_random:ANK2|ENSG00000145362.21|EH38E2320863_fwd_tile1-1	ATF4	1
cardiac_neuro_cava_random:ANK2|ENSG00000145362.21|EH38E2320863_fwd_tile1-1	KDM1A	1
