name	TF_name	count
cardiac_neuro_cava_random:ABCC9|ENSG00000069431.14|EH38E1598048_rev_tile1-1	CDK8	1
cardiac_neuro_cava_random:ABCC9|ENSG00000069431.14|EH38E1598048_rev_tile1-1	MED12	1
cardiac_neuro_cava_random:ABCC9|ENSG00000069431.14|EH38E1598048_rev_tile1-1	RELA	1
cardiac_neuro_cava_random:ABCC9|ENSG00000069431.14|EH38E1598048_rev_tile1-1	SNAI2	1
cardiac_neuro_cava_random:ABCC9|ENSG00000069431.14|EH38E3006823_rev_tile1-1	AHR	1
cardiac_neuro_cava_random:ABCC9|ENSG00000069431.14|EH38E3006823_rev_tile1-1	CREB1	1
cardiac_neuro_cava_random:ABCC9|ENSG00000069431.14|EH38E3006823_rev_tile1-1	GATA3	1
cardiac_neuro_cava_random:ABCC9|ENSG00000069431.14|EH38E3006823_rev_tile1-1	NR2F2	1
cardiac_neuro_cava_random:ABCC9|ENSG00000069431.14|EH38E3006823_rev_tile1-1	SIN3A	1
cardiac_neuro_cava_random:ABCC9|ENSG00000069431.14|EH38E3006823_rev_tile1-1	SMARCC1	1
cardiac_neuro_cava_random:ABCC9|ENSG00000069431.14|EH38E3006823_rev_tile1-1	WT1	1
cardiac_neuro_cava_random:ABCC9|ENSG00000069431.14|EH38E3006823_rev_tile1-1	ZNF22	1
cardiac_neuro_cava_random:ABCC9|ENSG00000069431.14|EH38E3006823_rev_tile1-1	ZNF479	1
cardiac_neuro_cava_random:ABCC9|ENSG00000069431.14|EH38E3006865_rev_tile1-1	BMI1	1
cardiac_neuro_cava_random:ABCC9|ENSG00000069431.14|EH38E3006865_rev_tile1-1	CBX8	1
cardiac_neuro_cava_random:ABCC9|ENSG00000069431.14|EH38E3006865_rev_tile1-1	MYC	1
cardiac_neuro_cava_random:ABCC9|ENSG00000069431.14|EH38E3006865_rev_tile1-1	TP63	1
cardiac_neuro_cava_random:ABL1|ENSG00000097007.20|EH38E2731771_fwd_tile1-1	CDK8	1
cardiac_neuro_cava_random:ABL1|ENSG00000097007.20|EH38E2731771_fwd_tile1-1	EBF1	1
cardiac_neuro_cava_random:ABL1|ENSG00000097007.20|EH38E2731771_fwd_tile1-1	FLI1	1
cardiac_neuro_cava_random:ABL1|ENSG00000097007.20|EH38E2731771_fwd_tile1-1	FOXA2	1
cardiac_neuro_cava_random:ABL1|ENSG00000097007.20|EH38E2731771_fwd_tile1-1	HNRNPK	1
cardiac_neuro_cava_random:ABL1|ENSG00000097007.20|EH38E2731771_fwd_tile1-1	PSIP1	1
cardiac_neuro_cava_random:ABL1|ENSG00000097007.20|EH38E2731771_fwd_tile1-1	RBM22	1
cardiac_neuro_cava_random:ABL1|ENSG00000097007.20|EH38E2731771_fwd_tile1-1	SAFB	1
cardiac_neuro_cava_random:ABL1|ENSG00000097007.20|EH38E2731771_fwd_tile1-1	SAFB2	1
cardiac_neuro_cava_random:ABL1|ENSG00000097007.20|EH38E2731771_fwd_tile1-1	SMARCA2	1
cardiac_neuro_cava_random:ABL1|ENSG00000097007.20|EH38E2731771_fwd_tile1-1	SMARCA4	1
cardiac_neuro_cava_random:ABL1|ENSG00000097007.20|EH38E2731771_fwd_tile1-1	SRSF4	1
cardiac_neuro_cava_random:ABL1|ENSG00000097007.20|EH38E2731771_fwd_tile1-1	U2AF1	1
cardiac_neuro_cava_random:ACTC1|ENSG00000159251.8|EH38E3127094_rev_tile1-1	AR	1
